model,r2_mean,r2_std,mae_mean,mae_std
Baseline (predict mean),-0.01135880803166911,0.011366696407729422,28279.69366213875,1995.952303514242
Ridge Regression,0.4210561918953929,0.0822404174724317,20077.930537294014,1029.8855781128036
Random Forest,0.48112857195121084,0.05074789750314685,17352.20028451275,1064.58932837654
XGBoost,0.5028587491291833,0.08450313544747627,16751.905223841728,1098.1440786052967
