model,r2_mean,r2_std,mae_mean,mae_std
Baseline (predict mean),-0.00793502294336088,0.004174865246644979,13038.743154477745,666.828996929152
Ridge Regression,0.36456961237103425,0.05813759710840048,9971.695376527074,777.2215332388943
Random Forest,0.35733927494334744,0.07705605852296699,9968.744884149815,804.4717050104987
XGBoost,0.3769916928712306,0.07210644136825994,9608.27877067343,774.2729337527786
